user_id,joke_id,joke_text,rating,source_file
A,15270,Where does beef come from? Cowschwitz.,1,ShortJokes-Userdata-edges-A.csv
A,28989,What do Angels fans and gay men both have in common? They both love Pujols,0,ShortJokes-Userdata-edges-A.csv
A,40594,What's the difference between a garbanzo bean and a chickpea? I wouldn't pay $300 to have a garbanzo bean on my face.,-1,ShortJokes-Userdata-edges-A.csv
A,41814,Trying to take the best instagram picture ever but the kittens keep drowning in the latte.,1,ShortJokes-Userdata-edges-A.csv
A,46109,"Chess makes us to realize our life!!! Chess says everything about husband and wife. The King has to take things one step at a time, while the Queen can do whatever she wants.",1,ShortJokes-Userdata-edges-A.csv
A,46255,What do you call a wall st. executive that sucks at his job and is obsessed with his ex girlfriend? A broke stalker!,1,ShortJokes-Userdata-edges-A.csv
A,48404,Bad Cop: The proof is in the pudding. Good Cop: Stop putting all our evidence in pudding. Why do you keep putting our evidence in pudding?,-1,ShortJokes-Userdata-edges-A.csv
A,50678,"Two soldiers are in a tank... ...one turns to the other and says, ""blubblublbublub"".",1,ShortJokes-Userdata-edges-A.csv
A,58894,An iPhone 7 walks into a bar ... I'll have a Jack please!,0,ShortJokes-Userdata-edges-A.csv
A,65283,Mr Monster: Oi hurry up with my supper.  Mrs Monster: Oh do be quiet I've only got three pairs of  hands.,0,ShortJokes-Userdata-edges-A.csv
A,66241,My dad is stupid. He thinks a fjord is a Norwegian motor car.,1,ShortJokes-Userdata-edges-A.csv
A,72738,"Eskimo: If I did not know about God and sin, would I go to hell? Priest: No, not if you don't know Eskimo: Then why did you tell me?",1,ShortJokes-Userdata-edges-A.csv
A,77562,God promised men that good and obedient wives would be found in all corners of the world... ...Then He made the Earth rough and He laughed and laughed...,1,ShortJokes-Userdata-edges-A.csv
A,78131,Please don't tell my three year old his oversized black calculator isn't really an iPad. He'd be crushed to learn his dad lied to him.,1,ShortJokes-Userdata-edges-A.csv
A,78924,"Why should you always run next to a car? Because if you run behind it you get exhausted, and if you run in front of it you get tired!",1,ShortJokes-Userdata-edges-A.csv
A,81008,If I learned anything about politics from this election It's that politics isn't about the ass you kiss but the pussy you grab,1,ShortJokes-Userdata-edges-A.csv
A,82235,There was a party in my pants and only one guy came...,-1,ShortJokes-Userdata-edges-A.csv
A,85852,Just found out my daughter's super power is repeating what I've said about others as soon as she meets them.,1,ShortJokes-Userdata-edges-A.csv
A,86118,It's like Nabisco doesn't even care their Birthday Cake Oreos will wreck my ass.,-1,ShortJokes-Userdata-edges-A.csv
A,94560,*Blind Date* Her: Ask me anything.. Me: Do you know how to properly layer nachos? Her: Are you seri.. Me: *flips table*,1,ShortJokes-Userdata-edges-A.csv
A,103534,What's the difference between America and yoghurt? If you leave yoghurt alone for 200 years it develops a culture.,0,ShortJokes-Userdata-edges-A.csv
A,108789,[DUI checkpoint] Cop: I'm gonna need you to follow my finger Me: As long as it doesn't tweet inspirational stuff,0,ShortJokes-Userdata-edges-A.csv
A,113773,Why couldn't Hillary rig the election like she rigged the DNC? She deleted that email.,-1,ShortJokes-Userdata-edges-A.csv
A,117720,"This guy asked me to convert today... And I said, no, I'm happy with my current non-prophet organization",1,ShortJokes-Userdata-edges-A.csv
